Individual,Sex,Forward_reads,Reverse_reads,Family,Sire,Dam,Treatment.control,Quality.encoding
040000M,M,040000M_1.fq,040000M_2.fq,Fam04,0,0,Sire,Illumina1.5
040711T,F,040711T_1.fq,040711T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040712C,F,040712C_1.fq,040712C_2.fq,Fam04,4,7,Control,Illumina1.5
040713T,F,040713T_1.fq,040713T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040714C,F,040714C_1.fq,040714C_2.fq,Fam04,4,7,Control,Illumina1.5
040715T,F,040715T_1.fq,040715T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040716C,M,040716C_1.fq,040716C_2.fq,Fam04,4,7,Control,Illumina1.5
040721T,M,040721T_1.fq,040721T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040723T,M,040723T_1.fq,040723T_2.fq,Fam04,4,7,Treatment,Illumina1.5
040724C,M,040724C_1.fq,040724C_2.fq,Fam04,4,7,Control,Illumina1.5
040812C,M,040812C_1.fq,040812C_2.fq,Fam04,4,8,Control,Illumina1.5
040813T,M,040813T_1.fq,040813T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040814C,M,040814C_1.fq,040814C_2.fq,Fam04,4,8,Control,Illumina1.5
040815T,F,040815T_1.fq,040815T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040816C,M,040816C_1.fq,040816C_2.fq,Fam04,4,8,Control,Illumina1.5
040821T,M,040821T_1.fq,040821T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040822C,M,040822C_1.fq,040822C_2.fq,Fam04,4,8,Control,Illumina1.5
040823T,M,040823T_1.fq,040823T_2.fq,Fam04,4,8,Treatment,Illumina1.5
040824C,F,040824C_1.fq,040824C_2.fq,Fam04,4,8,Control,Illumina1.5
070000F,F,070000F_1.fq,070000F_2.fq,Fam04,0,0,Dam,Illumina1.5
080000F,F,080000F_1.fq,080000F_2.fq,Fam04,0,0,Dam,Illumina1.5
050000M,M,050000M_1.fq,050000M_2.fq,Fam05,0,0,Sire,Illumina1.5
050912C,F,050912C_1.fq,050912C_2.fq,Fam05,5,9,Control,Illumina1.5
050913T,M,050913T_1.fq,050913T_2.fq,Fam05,5,9,Treatment,Illumina1.5
050914C,F,050914C_1.fq,050914C_2.fq,Fam05,5,9,Control,Illumina1.5
050915T,F,050915T_1.fq,050915T_2.fq,Fam05,5,9,Treatment,Illumina1.5
050916C,F,050916C_1.fq,050916C_2.fq,Fam05,5,9,Control,Illumina1.5
050921T,F,050921T_1.fq,050921T_2.fq,Fam05,5,9,Treatment,Illumina1.5
050922C,M,050922C_1.fq,050922C_2.fq,Fam05,5,9,Control,Illumina1.5
050924C,M,050924C_1.fq,050924C_2.fq,Fam05,5,9,Control,Illumina1.5
051011T,F,051011T_1.fq,051011T_2.fq,Fam05,5,10,Treatment,Illumina1.5
051012C,F,051012C_1.fq,051012C_2.fq,Fam05,5,10,Control,Illumina1.5
051013T,M,051013T_1.fq,051013T_2.fq,Fam05,5,10,Treatment,Illumina1.5
051014C,M,051014C_1.fq,051014C_2.fq,Fam05,5,10,Control,Illumina1.5
051015T,F,051015T_1.fq,051015T_2.fq,Fam05,5,10,Treatment,Illumina1.5
051016C,F,051016C_1.fq,051016C_2.fq,Fam05,5,10,Control,Illumina1.5
051021T,M,051021T_1.fq,051021T_2.fq,Fam05,5,10,Treatment,Illumina1.5
051022C,M,051022C_1.fq,051022C_2.fq,Fam05,5,10,Control,Illumina1.5
051023T,M,051023T_1.fq,051023T_2.fq,Fam05,5,10,Treatment,Illumina1.5
051024C,M,051024C_1.fq,051024C_2.fq,Fam05,5,10,Control,Illumina1.5
090000F,F,090000F_1.fq,090000F_2.fq,Fam05,0,0,Dam,Illumina1.5
100000F,F,100000F_1.fq,100000F_2.fq,Fam05,0,0,Dam,Illumina1.5
070000M,M,070000M_1.fq,070000M_2.fq,Fam07,0,0,Sire,Illumina1.5
071313T,F,071313T_1.fq,071313T_2.fq,Fam07,7,13,Treatment,Illumina1.5
071315T,F,071315T_1.fq,071315T_2.fq,Fam07,7,13,Treatment,Illumina1.5
071316C,M,071316C_1.fq,071316C_2.fq,Fam07,7,13,Control,Illumina1.5
071322C,M,071322C_1.fq,071322C_2.fq,Fam07,7,13,Control,Illumina1.5
071323T,M,071323T_1.fq,071323T_2.fq,Fam07,7,13,Treatment,Illumina1.5
071324C,M,071324C_1.fq,071324C_2.fq,Fam07,7,13,Control,Illumina1.5
071411T,F,071411T_1.fq,071411T_2.fq,Fam07,7,14,Treatment,Illumina1.5
071412C,M,071412C_1.fq,071412C_2.fq,Fam07,7,14,Control,Illumina1.5
071414C,F,071414C_1.fq,071414C_2.fq,Fam07,7,14,Control,Illumina1.5
071415T,F,071415T_1.fq,071415T_2.fq,Fam07,7,14,Treatment,Illumina1.5
071416C,M,071416C_1.fq,071416C_2.fq,Fam07,7,14,Control,Illumina1.5
071421T,M,071421T_1.fq,071421T_2.fq,Fam07,7,14,Treatment,Illumina1.5
071422C,F,071422C_1.fq,071422C_2.fq,Fam07,7,14,Control,Illumina1.5
071423T,M,071423T_1.fq,071423T_2.fq,Fam07,7,14,Treatment,Illumina1.5
071424C,F,071424C_1.fq,071424C_2.fq,Fam07,7,14,Control,Illumina1.5
130000F,F,130000F_1.fq,130000F_2.fq,Fam07,0,0,Dam,Illumina1.5
140000F,F,140000F_1.fq,140000F_2.fq,Fam07,0,0,Dam,Illumina1.5
110000M,M,110000M_1.fq,110000M_2.fq,Fam11,0,0,Sire,Illumina1.5
112111T,F,112111T_1.fq,112111T_2.fq,Fam11,11,21,Treatment,Illumina1.5
112112C,F,112112C_1.fq,112112C_2.fq,Fam11,11,21,Control,Illumina1.5
112113T,F,112113T_1.fq,112113T_2.fq,Fam11,11,21,Treatment,Illumina1.5
112114C,F,112114C_1.fq,112114C_2.fq,Fam11,11,21,Control,Illumina1.5
112116C,M,112116C_1.fq,112116C_2.fq,Fam11,11,21,Control,Illumina1.5
112121T,F,112121T_1.fq,112121T_2.fq,Fam11,11,21,Treatment,Illumina1.5
112122C,F,112122C_1.fq,112122C_2.fq,Fam11,11,21,Control,Illumina1.5
112123T,F,112123T_1.fq,112123T_2.fq,Fam11,11,21,Treatment,Illumina1.5
112124C,M,112124C_1.fq,112124C_2.fq,Fam11,11,21,Control,Illumina1.5
112215T,F,112215T_1.fq,112215T_2.fq,Fam11,11,22,Treatment,Illumina1.5
112216C,F,112216C_1.fq,112216C_2.fq,Fam11,11,22,Control,Illumina1.5
112221T,M,112221T_1.fq,112221T_2.fq,Fam11,11,22,Treatment,Illumina1.5
112223T,F,112223T_1.fq,112223T_2.fq,Fam11,11,22,Treatment,Illumina1.5
112224C,F,112224C_1.fq,112224C_2.fq,Fam11,11,22,Control,Illumina1.5
210000F,F,210000F_1.fq,210000F_2.fq,Fam11,0,0,Dam,Illumina1.5
220000F,F,220000F_1.fq,220000F_2.fq,Fam11,0,0,Dam,Illumina1.5
120000M,M,120000M_1.fq,120000M_2.fq,Fam12,0,0,Sire,Illumina1.5
122312C,F,122312C_1.fq,122312C_2.fq,Fam12,12,23,Control,Illumina1.5
122313T,M,122313T_1.fq,122313T_2.fq,Fam12,12,23,Treatment,Illumina1.5
122314C,F,122314C_1.fq,122314C_2.fq,Fam12,12,23,Control,Illumina1.5
122315T,F,122315T_1.fq,122315T_2.fq,Fam12,12,23,Treatment,Illumina1.5
122321T,F,122321T_1.fq,122321T_2.fq,Fam12,12,23,Treatment,Illumina1.5
122322C,F,122322C_1.fq,122322C_2.fq,Fam12,12,23,Control,Illumina1.5
122323T,F,122323T_1.fq,122323T_2.fq,Fam12,12,23,Treatment,Illumina1.5
122324C,M,122324C_1.fq,122324C_2.fq,Fam12,12,23,Control,Illumina1.5
122412C,F,122412C_1.fq,122412C_2.fq,Fam12,12,24,Control,Sanger_Illumina1.9
122413T,F,122413T_1.fq,122413T_2.fq,Fam12,12,24,Treatment,Illumina1.5
122414C,F,122414C_1.fq,122414C_2.fq,Fam12,12,24,Control,Illumina1.5
122415T,F,122415T_1.fq,122415T_2.fq,Fam12,12,24,Treatment,Illumina1.5
122416C,M,122416C_1.fq,122416C_2.fq,Fam12,12,24,Control,Illumina1.5
122421T,F,122421T_1.fq,122421T_2.fq,Fam12,12,24,Treatment,Illumina1.5
122423T,F,122423T_1.fq,122423T_2.fq,Fam12,12,24,Treatment,Illumina1.5
122424C,F,122424C_1.fq,122424C_2.fq,Fam12,12,24,Control,Illumina1.5
230000F,F,230000F_1.fq,230000F_2.fq,Fam12,0,0,Dam,Illumina1.5
240000F,F,240000F_1.fq,240000F_2.fq,Fam12,0,0,Dam,Illumina1.5
130000M,M,130000M_1.fq,130000M_2.fq,Fam13,0,0,Sire,Illumina1.5
132511T,M,132511T_1.fq,132511T_2.fq,Fam13,13,25,Treatment,Illumina1.5
132512C,F,132512C_1.fq,132512C_2.fq,Fam13,13,25,Control,Illumina1.5
132513T,F,132513T_1.fq,132513T_2.fq,Fam13,13,25,Treatment,Illumina1.5
132514C,M,132514C_1.fq,132514C_2.fq,Fam13,13,25,Control,Illumina1.5
132515T,F,132515T_1.fq,132515T_2.fq,Fam13,13,25,Treatment,Illumina1.5
132516C,F,132516C_1.fq,132516C_2.fq,Fam13,13,25,Control,Illumina1.5
132521T,M,132521T_1.fq,132521T_2.fq,Fam13,13,25,Treatment,Illumina1.5
132522C,M,132522C_1.fq,132522C_2.fq,Fam13,13,25,Control,Illumina1.5
132523T,M,132523T_1.fq,132523T_2.fq,Fam13,13,25,Treatment,Illumina1.5
132524C,M,132524C_1.fq,132524C_2.fq,Fam13,13,25,Control,Illumina1.5
132611T,F,132611T_1.fq,132611T_2.fq,Fam13,13,26,Treatment,Illumina1.5
132612C,F,132612C_1.fq,132612C_2.fq,Fam13,13,26,Control,Illumina1.5
132613T,F,132613T_1.fq,132613T_2.fq,Fam13,13,26,Treatment,Illumina1.5
132614C,F,132614C_1.fq,132614C_2.fq,Fam13,13,26,Control,Illumina1.5
132615T,F,132615T_1.fq,132615T_2.fq,Fam13,13,26,Treatment,Illumina1.5
132616C,F,132616C_1.fq,132616C_2.fq,Fam13,13,26,Control,Illumina1.5
132621T,F,132621T_1.fq,132621T_2.fq,Fam13,13,26,Treatment,Illumina1.5
132622C,M,132622C_1.fq,132622C_2.fq,Fam13,13,26,Control,Illumina1.5
132623T,F,132623T_1.fq,132623T_2.fq,Fam13,13,26,Treatment,Illumina1.5
132624C,M,132624C_1.fq,132624C_2.fq,Fam13,13,26,Control,Illumina1.5
250000F,F,250000F_1.fq,250000F_2.fq,Fam13,0,0,Dam,Illumina1.5
260000F,F,260000F_1.fq,260000F_2.fq,Fam13,0,0,Dam,Illumina1.5
140000M,M,140000M_1.fq,140000M_2.fq,Fam14,0,0,Sire,Illumina1.5
142711T,F,142711T_1.fq,142711T_2.fq,Fam14,14,27,Treatment,Illumina1.5
142712C,M,142712C_1.fq,142712C_2.fq,Fam14,14,27,Control,Illumina1.5
142713T,F,142713T_1.fq,142713T_2.fq,Fam14,14,27,Treatment,Illumina1.5
142714C,F,142714C_1.fq,142714C_2.fq,Fam14,14,27,Control,Illumina1.5
142715T,M,142715T_1.fq,142715T_2.fq,Fam14,14,27,Treatment,Illumina1.5
142716C,M,142716C_1.fq,142716C_2.fq,Fam14,14,27,Control,Illumina1.5
142721T,F,142721T_1.fq,142721T_2.fq,Fam14,14,27,Treatment,Illumina1.5
142722C,M,142722C_1.fq,142722C_2.fq,Fam14,14,27,Control,Illumina1.5
142723T,M,142723T_1.fq,142723T_2.fq,Fam14,14,27,Treatment,Illumina1.5
142724C,M,142724C_1.fq,142724C_2.fq,Fam14,14,27,Control,Illumina1.5
142811T,F,142811T_1.fq,142811T_2.fq,Fam14,14,28,Treatment,Illumina1.5
142812C,F,142812C_1.fq,142812C_2.fq,Fam14,14,28,Control,Illumina1.5
142813T,F,142813T_1.fq,142813T_2.fq,Fam14,14,28,Treatment,Illumina1.5
142814C,F,142814C_1.fq,142814C_2.fq,Fam14,14,28,Control,Illumina1.5
142815T,F,142815T_1.fq,142815T_2.fq,Fam14,14,28,Treatment,Illumina1.5
142816C,F,142816C_1.fq,142816C_2.fq,Fam14,14,28,Control,Illumina1.5
142821T,M,142821T_1.fq,142821T_2.fq,Fam14,14,28,Treatment,Illumina1.5
142822C,F,142822C_1.fq,142822C_2.fq,Fam14,14,28,Control,Illumina1.5
142823T,F,142823T_1.fq,142823T_2.fq,Fam14,14,28,Treatment,Illumina1.5
270000F,F,270000F_1.fq,270000F_2.fq,Fam14,0,0,Dam,Illumina1.5
280000F,F,280000F_1.fq,280000F_2.fq,Fam14,0,0,Dam,Illumina1.5
150000M,M,150000M_1.fq,150000M_2.fq,Fam15,0,0,Sire,Illumina1.5
152911T,M,152911T_1.fq,152911T_2.fq,Fam15,15,29,Treatment,Illumina1.5
152912C,F,152912C_1.fq,152912C_2.fq,Fam15,15,29,Control,Illumina1.5
152913T,M,152913T_1.fq,152913T_2.fq,Fam15,15,29,Treatment,Illumina1.5
152914C,F,152914C_1.fq,152914C_2.fq,Fam15,15,29,Control,Illumina1.5
152915T,M,152915T_1.fq,152915T_2.fq,Fam15,15,29,Treatment,Illumina1.5
152916C,F,152916C_1.fq,152916C_2.fq,Fam15,15,29,Control,Illumina1.5
152921T,F,152921T_1.fq,152921T_2.fq,Fam15,15,29,Treatment,Illumina1.5
152923T,F,152923T_1.fq,152923T_2.fq,Fam15,15,29,Treatment,Illumina1.5
152924C,M,152924C_1.fq,152924C_2.fq,Fam15,15,29,Control,Illumina1.5
153012C,F,153012C_1.fq,153012C_2.fq,Fam15,15,30,Control,Illumina1.5
153013T,M,153013T_1.fq,153013T_2.fq,Fam15,15,30,Treatment,Illumina1.5
153014C,F,153014C_1.fq,153014C_2.fq,Fam15,15,30,Control,Illumina1.5
153015T,M,153015T_1.fq,153015T_2.fq,Fam15,15,30,Treatment,Illumina1.5
153016C,F,153016C_1.fq,153016C_2.fq,Fam15,15,30,Control,Illumina1.5
153021T,F,153021T_1.fq,153021T_2.fq,Fam15,15,30,Treatment,Illumina1.5
153023T,M,153023T_1.fq,153023T_2.fq,Fam15,15,30,Treatment,Illumina1.5
153024C,F,153024C_1.fq,153024C_2.fq,Fam15,15,30,Control,Illumina1.5
290000F,F,290000F_1.fq,290000F_2.fq,Fam15,0,0,Dam,Illumina1.5
300000F,F,300000F_1.fq,300000F_2.fq,Fam15,0,0,Dam,Illumina1.5
160000M,M,160000M_1.fq,160000M_2.fq,Fam16,0,0,Sire,Illumina1.5
163111T,F,163111T_1.fq,163111T_2.fq,Fam16,16,31,Treatment,Illumina1.5
163112C,M,163112C_1.fq,163112C_2.fq,Fam16,16,31,Control,Illumina1.5
163113T,F,163113T_1.fq,163113T_2.fq,Fam16,16,31,Treatment,Illumina1.5
163114C,F,163114C_1.fq,163114C_2.fq,Fam16,16,31,Control,Illumina1.5
163115T,F,163115T_1.fq,163115T_2.fq,Fam16,16,31,Treatment,Illumina1.5
163116C,M,163116C_1.fq,163116C_2.fq,Fam16,16,31,Control,Illumina1.5
163121T,M,163121T_1.fq,163121T_2.fq,Fam16,16,31,Treatment,Illumina1.5
163122C,M,163122C_1.fq,163122C_2.fq,Fam16,16,31,Control,Illumina1.5
163123T,F,163123T_1.fq,163123T_2.fq,Fam16,16,31,Treatment,Illumina1.5
163124C,F,163124C_1.fq,163124C_2.fq,Fam16,16,31,Control,Illumina1.5
163211T,F,163211T_1.fq,163211T_2.fq,Fam16,16,32,Treatment,Illumina1.5
163212C,F,163212C_1.fq,163212C_2.fq,Fam16,16,32,Control,Illumina1.5
163214C,M,163214C_1.fq,163214C_2.fq,Fam16,16,32,Control,Illumina1.5
163215T,M,163215T_1.fq,163215T_2.fq,Fam16,16,32,Treatment,Illumina1.5
163216C,F,163216C_a_1.fq,163216C_a_2.fq,Fam16,16,32,Control,Illumina1.5
163216C,F,163216C_b_1.fq,163216C_b_2.fq,Fam16,16,32,Control,Illumina1.5
163221T,M,163221T_1.fq,163221T_2.fq,Fam16,16,32,Treatment,Illumina1.5
163222C,F,163222C_1.fq,163222C_2.fq,Fam16,16,32,Control,Illumina1.5
163224C,F,163224C_1.fq,163224C_2.fq,Fam16,16,32,Control,Illumina1.5
310000F,F,310000F_1.fq,310000F_2.fq,Fam16,0,0,Dam,Illumina1.5
320000F,F,320000F_1.fq,320000F_2.fq,Fam16,0,0,Dam,Illumina1.5
170000M,M,170000M_1.fq,170000M_2.fq,Fam17,0,0,Sire,Illumina1.5
173311T,M,173311T_1.fq,173311T_2.fq,Fam17,17,33,Treatment,Illumina1.5
173312C,F,173312C_1.fq,173312C_2.fq,Fam17,17,33,Control,Illumina1.5
173313T,M,173313T_1.fq,173313T_2.fq,Fam17,17,33,Treatment,Illumina1.5
173314C,F,173314C_1.fq,173314C_2.fq,Fam17,17,33,Control,Illumina1.5
173315T,F,173315T_1.fq,173315T_2.fq,Fam17,17,33,Treatment,Illumina1.5
173316C,F,173316C_1.fq,173316C_2.fq,Fam17,17,33,Control,Illumina1.5
173321T,M,173321T_1.fq,173321T_2.fq,Fam17,17,33,Treatment,Illumina1.5
173322C,F,173322C_1.fq,173322C_2.fq,Fam17,17,33,Control,Illumina1.5
173323T,F,173323T_1.fq,173323T_2.fq,Fam17,17,33,Treatment,Illumina1.5
173324C,F,173324C_1.fq,173324C_2.fq,Fam17,17,33,Control,Illumina1.5
173411T,M,173411T_1.fq,173411T_2.fq,Fam17,17,34,Treatment,Illumina1.5
173412C,F,173412C_1.fq,173412C_2.fq,Fam17,17,34,Control,Illumina1.5
173413T,F,173413T_1.fq,173413T_2.fq,Fam17,17,34,Treatment,Illumina1.5
173414C,F,173414C_1.fq,173414C_2.fq,Fam17,17,34,Control,Illumina1.5
173415T,F,173415T_1.fq,173415T_2.fq,Fam17,17,34,Treatment,Illumina1.5
173416C,M,173416C_1.fq,173416C_2.fq,Fam17,17,34,Control,Illumina1.5
173421T,M,173421T_a_1.fq,173421T_a_2.fq,Fam17,17,34,Treatment,Illumina1.5
173421T,M,173421T_b_1.fq,173421T_b_2.fq,Fam17,17,34,Treatment,Illumina1.5
173422C,F,173422C_1.fq,173422C_2.fq,Fam17,17,34,Control,Illumina1.5
173423T,M,173423T_1.fq,173423T_2.fq,Fam17,17,34,Treatment,Illumina1.5
173424C,F,173424C_1.fq,173424C_2.fq,Fam17,17,34,Control,Illumina1.5
330000F,F,330000F_1.fq,330000F_2.fq,Fam17,0,0,Dam,Illumina1.5
340000F,F,340000F_1.fq,340000F_2.fq,Fam17,0,0,Dam,Illumina1.5
180000M,M,180000M_1.fq,180000M_2.fq,Fam18,0,0,Sire,Illumina1.5
183511T,F,183511T_1.fq,183511T_2.fq,Fam18,18,35,Treatment,Illumina1.5
